Date,Total Nodes(C),In Use,Offline,Available,Down,Running Jobs,Jobs in Queue
18-06-2025 08:30,422,254,3,166,0,118,4
18-06-2025 09:30,422,274,3,146,0,131,9
18-06-2025 10:30,422,308,2,113,0,138,14
18-06-2025 11:30,422,309,2,112,0,144,11
18-06-2025 12:30,422,311,2,110,0,139,17
18-06-2025 13:30,422,340,2,81,0,145,15
18-06-2025 14:30,422,376,2,45,0,155,19
18-06-2025 15:30,422,370,2,51,0,153,15
18-06-2025 16:30,422,396,2,25,0,153,18
18-06-2025 17:30,422,410,2,11,0,154,17
18-06-2025 18:30,422,398,2,23,0,148,15
18-06-2025 19:30,422,399,2,22,0,147,13
18-06-2025 20:30,422,370,2,51,0,141,7
18-06-2025 21:30,422,337,2,84,0,130,4
18-06-2025 22:30,422,312,2,109,0,123,3
18-06-2025 23:30,422,279,2,142,0,119,4
19-06-2025 00:30,422,275,2,146,0,116,4
19-06-2025 01:30,422,267,2,154,0,114,4
19-06-2025 02:30,422,244,2,177,0,107,2
19-06-2025 03:30,422,230,2,191,0,101,0
19-06-2025 04:30,422,223,2,198,0,97,0
19-06-2025 05:30,422,218,2,203,0,92,0
19-06-2025 06:30,422,212,2,209,0,97,1
19-06-2025 07:30,422,196,2,225,0,87,0
19-06-2025 08:30,422,196,2,225,0,85,0
19-06-2025 09:30,422,263,2,158,0,99,7
19-06-2025 10:30,422,312,2,108,0,115,11
19-06-2025 11:30,422,342,3,77,0,125,13
19-06-2025 12:30,422,365,1,56,0,151,19
19-06-2025 13:30,422,388,1,33,0,152,20
19-06-2025 14:30,422,413,1,8,0,154,23
19-06-2025 15:30,422,412,1,9,0,151,20
19-06-2025 16:30,422,394,1,27,0,148,16
19-06-2025 17:30,422,415,0,7,0,141,12
19-06-2025 18:30,422,414,0,8,0,136,13
19-06-2025 19:30,422,383,0,39,0,125,11
19-06-2025 20:30,422,417,0,5,0,137,24
19-06-2025 21:30,422,410,0,12,0,136,22
19-06-2025 22:30,422,414,0,8,0,129,20
19-06-2025 23:30,422,396,0,26,0,133,14
20-06-2025 00:30,422,408,0,14,0,129,17
20-06-2025 01:30,422,414,0,8,0,126,17
20-06-2025 02:30,422,407,0,15,0,123,14
20-06-2025 03:30,422,407,0,15,0,122,12
20-06-2025 04:30,422,405,0,17,0,120,11
20-06-2025 05:30,422,402,0,20,0,118,10
20-06-2025 06:30,422,401,0,21,0,116,9
20-06-2025 07:30,422,414,0,8,0,112,8
20-06-2025 08:30,422,416,0,6,0,111,9
20-06-2025 09:30,422,415,0,7,0,115,16
20-06-2025 10:30,422,418,0,4,0,121,30
20-06-2025 11:30,422,417,0,5,0,129,40
20-06-2025 12:30,422,417,0,5,0,127,45
20-06-2025 13:30,422,418,0,4,0,131,39
20-06-2025 14:30,422,418,0,4,0,131,28
20-06-2025 15:30,422,417,0,5,0,128,25
20-06-2025 16:30,422,416,0,6,0,131,24
20-06-2025 17:30,422,417,0,5,0,129,28
20-06-2025 18:30,422,417,0,5,0,125,24
20-06-2025 19:30,422,414,0,8,0,121,21
20-06-2025 20:30,422,412,0,10,0,124,18
20-06-2025 21:30,422,411,0,11,0,119,16
20-06-2025 22:30,422,408,0,14,0,119,15
20-06-2025 23:30,422,418,0,4,0,116,16
21-06-2025 00:30,422,413,0,9,0,114,16
21-06-2025 01:30,422,416,0,6,0,111,17
21-06-2025 02:30,422,418,0,4,0,109,17
21-06-2025 03:30,422,417,0,5,0,107,14
21-06-2025 04:30,422,416,0,6,0,106,14
21-06-2025 05:30,422,415,0,7,0,105,12
21-06-2025 06:30,422,416,0,6,0,104,10
21-06-2025 07:30,422,415,0,7,0,103,12
21-06-2025 08:30,422,414,0,8,0,101,12
21-06-2025 09:30,422,416,0,6,0,104,20
21-06-2025 10:30,422,416,0,6,0,111,29
21-06-2025 11:30,422,415,0,7,0,112,18
21-06-2025 12:30,422,413,0,9,0,107,16
21-06-2025 13:30,422,412,0,10,0,109,16
21-06-2025 14:30,422,407,0,15,0,108,11
21-06-2025 15:30,422,416,0,6,0,112,11
21-06-2025 16:30,422,415,1,7,0,121,10
21-06-2025 17:30,422,412,1,10,0,118,14
21-06-2025 18:30,422,410,1,12,0,120,10
21-06-2025 19:30,422,416,1,6,0,118,18
21-06-2025 20:30,422,405,1,17,0,115,18
21-06-2025 21:30,422,408,1,13,0,114,19
21-06-2025 22:30,422,406,1,15,0,108,17
21-06-2025 23:30,422,383,0,39,0,104,14
22-06-2025 00:30,422,375,0,47,0,107,12
22-06-2025 01:30,422,389,0,33,0,105,10
22-06-2025 02:30,422,367,0,55,0,101,9
22-06-2025 03:30,422,361,0,61,0,98,8
22-06-2025 04:30,422,362,0,60,0,98,6
22-06-2025 05:30,422,290,0,132,0,93,6
22-06-2025 06:30,422,273,0,149,0,91,3
22-06-2025 07:30,422,310,0,112,0,87,2
22-06-2025 08:30,422,289,0,133,0,84,2
22-06-2025 09:30,422,287,0,135,0,83,2
22-06-2025 10:30,422,291,0,131,0,88,0
22-06-2025 11:30,422,280,0,142,0,82,0
22-06-2025 12:30,422,273,0,149,0,81,13
22-06-2025 13:30,422,303,0,119,0,84,14
22-06-2025 14:30,422,309,0,113,0,88,18
22-06-2025 15:30,422,289,0,133,0,83,16
22-06-2025 16:30,422,332,0,90,0,82,16
22-06-2025 17:30,422,313,0,109,0,83,14
22-06-2025 18:30,422,327,0,95,0,93,12
22-06-2025 19:30,422,332,0,90,0,94,10
22-06-2025 20:30,422,384,0,38,0,97,7
22-06-2025 21:30,422,380,0,42,0,93,7
22-06-2025 22:30,422,334,0,88,0,88,6
22-06-2025 23:30,422,312,0,110,0,87,5
23-06-2025 00:30,422,338,0,84,0,87,5
23-06-2025 01:30,422,314,0,108,0,85,5
23-06-2025 02:30,422,289,0,133,0,81,5
23-06-2025 03:30,422,306,0,116,0,79,5
23-06-2025 04:30,422,289,0,133,0,75,4
23-06-2025 05:30,422,285,0,137,0,72,4
23-06-2025 06:30,422,285,0,137,0,72,4
23-06-2025 07:30,422,253,0,169,0,70,4
23-06-2025 08:30,422,291,2,130,0,72,4
23-06-2025 09:30,422,318,1,104,0,83,11
23-06-2025 10:30,422,334,1,88,0,90,14
23-06-2025 11:30,422,402,1,20,0,102,14
23-06-2025 12:30,422,417,1,5,0,113,25
23-06-2025 13:30,422,417,1,5,0,117,29
23-06-2025 14:30,422,417,1,5,0,116,33
23-06-2025 15:30,422,417,1,5,0,126,35
23-06-2025 16:30,422,375,1,47,0,119,21
23-06-2025 17:30,422,366,1,56,0,123,19
23-06-2025 18:30,422,379,1,43,0,125,22
23-06-2025 19:30,422,391,1,31,0,136,22
23-06-2025 20:30,422,400,1,22,0,130,19
23-06-2025 21:30,422,414,1,8,0,132,17
23-06-2025 22:30,422,402,1,20,0,128,19
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
